ID,Points
1,91.34377098
2,82.8170857
3,88.96968115
4,87.97309508
5,83.59870522
6,88.03268614
7,87.20045887
8,87.72292299
9,90.44654341
10,90.6726689
11,90.25818188
12,90.30772887
13,89.80895246
14,94.11141249
15,90.03070453
16,89.82774335
17,90.63867219
18,87.34681254
19,93.11308961
20,89.49788916
21,82.51531686
22,91.00908546
23,85.99760428
24,87.16080756
25,90.88393471
26,89.25579945
27,84.52704376
28,86.75621922
29,86.43004781
30,85.14492904
31,92.26395806
32,88.7775588
33,89.1444981
34,85.44072725
35,83.96237915
36,90.87471357
37,84.29219026
38,86.17964195
39,88.95316797
40,90.53007272
41,87.71459547
42,85.87779087
43,89.23684582
44,83.36397891
45,90.41848103
46,88.40349503
47,90.30612847
48,87.02855136
49,86.54644741
50,86.52239466
51,90.03010546
52,88.71389751
53,83.44146301
54,91.71169903
55,87.81555253
56,90.70060204
57,83.39094711
58,87.4949946
59,85.73643005
60,88.15104524
61,86.78583737
62,86.51573299
63,90.95973337
64,86.49780778
65,85.81106145
66,94.15058671
67,89.17423959
68,90.58428007
69,78.90733362
70,88.23498424
71,94.41526005
72,88.98069708
73,89.27146821
74,84.47823502
75,89.90906532
76,85.38318933
77,88.7709203
78,87.7899903
79,90.2264011
80,82.94206613
81,89.69597502
82,86.72708442
83,85.58328204
84,85.66853704
85,85.01429684
86,87.25871595
87,88.07875803
88,86.15991817
89,89.81147533
90,92.11705176
91,85.96758287
92,90.78134202
93,86.7439367
94,84.40218044
95,83.02515341
96,86.55711924
97,86.39107818
98,89.45954331
99,86.84417766
100,88.65711531
101,89.67755153
102,91.61100095
103,87.70034053
104,85.00003854
105,90.46396326
106,87.35373617
107,87.73256497
108,86.76959458
109,86.28570364
110,86.65832732
111,86.85141074
112,88.07902626
113,89.3056408
114,81.28289082
115,88.70765026
116,91.39799055
117,84.20582998
118,91.66790216
119,86.96235034
120,91.12176745
121,90.64014629
122,81.42259303
123,89.29504221
124,79.87730447
125,88.08270549
126,87.27716456
127,88.76856604
128,87.49899876
129,86.91580899
130,89.75771353
131,89.63882596
132,90.97132421
133,85.8610557
134,90.13450876
135,89.84230599
136,84.98754565
137,91.35942254
138,89.74175457
139,89.56144579
140,92.18357069
141,87.49994047
142,88.68584825
143,88.36398044
144,83.96881178
145,84.85427283
146,84.91892316
147,87.64997992
148,85.95808518
149,88.67676695
150,88.99855806
151,89.875572
152,86.54034429
153,82.54119836
154,87.70308683
155,91.20871947
156,91.80509024
157,86.39571828
158,91.23914245
159,87.94229595
160,88.90690832
161,88.55682748
162,89.16739798
163,84.61577892
164,89.63067311
165,85.80567401
166,87.6784046
167,91.99910434
168,90.22151813
169,85.37373783
170,81.32034654
171,85.86211208
172,86.30273838
173,85.0207422
174,85.01843588
175,90.43985785
176,88.10059019
177,87.27261844
178,89.41608505
179,90.99258483
180,87.01271501
181,90.47102586
182,91.00059528
183,92.03050941
184,87.28777188
185,90.33141744
186,89.43457349
187,90.65655541
188,85.02237144
189,87.77344609
190,88.9931364
191,90.09196044
192,88.09970686
193,89.4130302
194,90.76105075
195,87.07857916
196,87.38047344
197,87.95495257
198,86.90203318
199,86.30482422
200,91.20313062
201,88.03382512
202,84.48517084
203,88.64864684
204,90.24208323
205,88.52283993
206,87.0400035
207,85.12734594
208,86.33722135
209,88.47837786
210,89.70732442
211,91.60867764
212,84.0545552
213,86.43418391
214,88.699106
215,92.25442679
216,88.50962031
217,87.20973161
218,83.69800995
219,85.85807988
220,90.02902917
221,89.86963111
222,87.48767188
223,89.06927558
224,90.60459511
225,85.51138665
226,88.5043373
227,85.53697502
228,87.47954076
229,86.07818116
230,85.97219906
231,87.07153484
232,91.10198567
233,85.49211576
234,89.01205646
235,85.8620642
236,91.64267816
237,82.19870411
238,88.13211785
239,90.62646229
